  INFO root [2018-07-30 16:53:10,953] - 
  INFO root [2018-07-30 16:53:10,953] - -----------------------------------------------------------------------------------------


  INFO root [2018-07-30 16:53:10,955] - Resmgr::initialize: KBE_ROOT=D:/kbengine/
  INFO root [2018-07-30 16:53:10,955] - Resmgr::initialize: KBE_RES_PATH=D:/kbengine/kbe/res/;D:/kbengine/assets_Battle of Gods/;D:/kbengine/assets_Battle of Gods/scripts/;D:/kbengine/assets_Battle of Gods/res/
  INFO root [2018-07-30 16:53:10,955] - Resmgr::initialize: KBE_BIN_PATH=D:/kbengine/kbe/bin/server/
  INFO root [2018-07-30 16:53:10,972] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 10.139.66.192 ( 10.139.66.192:31437 )
  INFO root [2018-07-30 16:53:10,973] - NetworkInterface::initialize(INTERNAL): address 10.139.66.192:31437, SOMAXCONN=5.
  INFO root [2018-07-30 16:53:10,973] - server-configs:
  INFO root [2018-07-30 16:53:10,973] - 	internalAddr : 10.139.66.192:31437
  INFO root [2018-07-30 16:53:10,973] - 	componentID : 4000
  INFO root [2018-07-30 16:53:11,022] - Components::findLogger: found logger, addr:10.139.66.192:31409
  INFO root [2018-07-30 16:53:11,023] - Components::addComponent: reset orderLog, uid=10103!
  INFO root [2018-07-30 16:53:11,024] - Components::addComponent[logger], uid=10103, componentID=2000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-07-30 16:53:11,041] - ---- dbmgr Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: F28F1C37BCC70CD27B77841D4A30E3D7. Config: Debug X86. Built: 16:26:54 Apr 30 2018. AppID: 4000. UID: 10103. PID: 13776 ----
  INFO root [2018-07-30 16:53:11,042] - Server : Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz with 2097151kB RAM
  INFO root [2018-07-30 16:53:11,042] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-07-30 16:53:11,043] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
 DEBUG root [2018-07-30 16:53:11,272] - Script::install_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-07-30 16:53:11,274] - Script::install_py_dlls(): PyInit__socket
 DEBUG root [2018-07-30 16:53:11,275] - Script::install_py_dlls(): PyInit__ssl
 DEBUG root [2018-07-30 16:53:11,280] - Script::install_py_dlls(): PyInit__hashlib
 DEBUG root [2018-07-30 16:53:11,281] - Script::install_py_dlls(): PyInit_select
 DEBUG root [2018-07-30 16:53:11,281] - Script::install_py_dlls(): PyInit__ctypes
 DEBUG root [2018-07-30 16:53:11,282] - Script::install_py_dlls(): PyInit__elementtree
