  INFO root [2018-05-17 22:49:38,109] - 
  INFO root [2018-05-17 22:49:38,110] - -----------------------------------------------------------------------------------------


  INFO root [2018-05-17 22:49:38,112] - Resmgr::initialize: KBE_ROOT=D:/kbengine/
  INFO root [2018-05-17 22:49:38,112] - Resmgr::initialize: KBE_RES_PATH=D:/kbengine/kbe/res/;D:/kbengine/assets_Battle of Gods/;D:/kbengine/assets_Battle of Gods/scripts/;D:/kbengine/assets_Battle of Gods/res/
  INFO root [2018-05-17 22:49:38,113] - Resmgr::initialize: KBE_BIN_PATH=D:/kbengine/kbe/bin/server/
  INFO root [2018-05-17 22:49:38,120] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 10.1.9.9 ( 10.1.9.9:30099 )
  INFO root [2018-05-17 22:49:38,131] - NetworkInterface::initialize(INTERNAL): address 10.1.9.9:30099, SOMAXCONN=5.
  INFO root [2018-05-17 22:49:38,139] - ---- interfaces Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: A3D4913C83C4082A29723B2DA267A5B0. Config: Debug X86. Built: 16:26:48 Apr 30 2018. AppID: 3000. UID: 10103. PID: 7740 ----
  INFO root [2018-05-17 22:49:38,139] - Server : Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz with 2097151kB RAM
  INFO root [2018-05-17 22:49:38,140] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-05-17 22:49:38,141] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
 DEBUG root [2018-05-17 22:49:38,293] - Script::install_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-05-17 22:49:38,294] - Script::install_py_dlls(): PyInit__socket
 DEBUG root [2018-05-17 22:49:38,294] - Script::install_py_dlls(): PyInit__ssl
 DEBUG root [2018-05-17 22:49:38,298] - Script::install_py_dlls(): PyInit__hashlib
 DEBUG root [2018-05-17 22:49:38,298] - Script::install_py_dlls(): PyInit_select
 DEBUG root [2018-05-17 22:49:38,298] - Script::install_py_dlls(): PyInit__ctypes
 DEBUG root [2018-05-17 22:49:38,299] - Script::install_py_dlls(): PyInit__elementtree
 DEBUG root [2018-05-17 22:49:38,886] - Script::install_py_dlls(): PyInit_unicodedata
  INFO root [2018-05-17 22:49:39,446] - Script::install(): is successfully, Python=(3.4.2 (default, Apr 30 2018, 16:26:41) [MSC v.1900 32 bit (Intel)])!
  INFO root [2018-05-17 22:49:39,446] - Script::install(): KBExtra is successfully!
S_INFO root [2018-05-17 22:49:40,523] - onInterfaceAppReady: bootstrapGroupIndex=0, bootstrapGlobalIndex=0
  INFO root [2018-05-17 22:49:40,703] - TelnetServer server is running on port 33000
  WARN root [2018-05-17 22:49:40,703] - interfaces.cpp:146: Profile scriptCall took 0.18 seconds
  INFO root [2018-05-17 22:49:41,100] - ---- interfaces is running ----
 DEBUG root [2018-05-17 22:49:41,101] - Components::process(): Request for the process of identity...
  INFO root [2018-05-17 22:49:48,430] - Components::process(): Found all the components!
S_INFO root [2018-05-17 22:50:23,923] - onRequestAccountLogin: registerName=cxx
S_INFO root [2018-05-17 22:54:58,522] - onRequestAccountLogin: registerName=cxx
S_INFO root [2018-05-17 22:57:17,421] - onRequestAccountLogin: registerName=cxx
S_INFO root [2018-05-17 23:01:34,320] - onRequestAccountLogin: registerName=cxx
S_INFO root [2018-05-17 23:04:19,220] - onRequestAccountLogin: registerName=cxx
S_INFO root [2018-05-17 23:16:21,417] - onRequestAccountLogin: registerName=cxx
S_INFO root [2018-05-17 23:23:41,715] - onRequestAccountLogin: registerName=cxx
S_INFO root [2018-05-17 23:26:05,414] - onRequestAccountLogin: registerName=cxx
S_INFO root [2018-05-17 23:41:16,510] - onRequestAccountLogin: registerName=cxx
S_INFO root [2018-05-17 23:43:02,310] - onRequestAccountLogin: registerName=cxx
S_INFO root [2018-05-17 23:47:07,311] - onRequestAccountLogin: registerName=cxx
S_INFO root [2018-05-17 23:49:16,508] - onRequestAccountLogin: registerName=cxx
S_INFO root [2018-05-17 23:53:37,308] - onRequestAccountLogin: registerName=cxx
