  INFO root [2018-07-06 13:06:59,783] - 
  INFO root [2018-07-06 13:06:59,783] - -----------------------------------------------------------------------------------------


  INFO root [2018-07-06 13:06:59,784] - Resmgr::initialize: KBE_ROOT=D:/kbengine/
  INFO root [2018-07-06 13:06:59,784] - Resmgr::initialize: KBE_RES_PATH=D:/kbengine/kbe/res/;D:/kbengine/assets_Battle of Gods/;D:/kbengine/assets_Battle of Gods/scripts/;D:/kbengine/assets_Battle of Gods/res/
  INFO root [2018-07-06 13:06:59,784] - Resmgr::initialize: KBE_BIN_PATH=D:/kbengine/kbe/bin/server/
  INFO root [2018-07-06 13:06:59,791] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 10.1.9.4 ( 10.1.9.4:35678 )
  INFO root [2018-07-06 13:06:59,791] - NetworkInterface::initialize(INTERNAL): address 10.1.9.4:35678, SOMAXCONN=5.
  INFO root [2018-07-06 13:06:59,798] - ---- tool Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: F217117F928F68467C45B47BA31B1B8B. Config: Debug X86. Built: 16:26:44 Apr 30 2018. AppID: 0. UID: 10103. PID: 8384 ----
  INFO root [2018-07-06 13:06:59,798] - Server : Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz with 2097151kB RAM
  INFO root [2018-07-06 13:06:59,798] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-07-06 13:06:59,798] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
 DEBUG root [2018-07-06 13:06:59,948] - Script::install_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-07-06 13:06:59,949] - Script::install_py_dlls(): PyInit__socket
 DEBUG root [2018-07-06 13:06:59,949] - Script::install_py_dlls(): PyInit__ssl
 DEBUG root [2018-07-06 13:06:59,952] - Script::install_py_dlls(): PyInit__hashlib
 DEBUG root [2018-07-06 13:06:59,953] - Script::install_py_dlls(): PyInit_select
 DEBUG root [2018-07-06 13:06:59,953] - Script::install_py_dlls(): PyInit__ctypes
 DEBUG root [2018-07-06 13:06:59,954] - Script::install_py_dlls(): PyInit__elementtree
 DEBUG root [2018-07-06 13:06:59,998] - Script::install_py_dlls(): PyInit_unicodedata
  INFO root [2018-07-06 13:07:00,052] - Script::install(): is successfully, Python=(3.4.2 (default, Apr 30 2018, 16:26:41) [MSC v.1900 32 bit (Intel)])!
  INFO root [2018-07-06 13:07:00,052] - Script::install(): KBExtra is successfully!
 DEBUG root [2018-07-06 13:07:00,587] - ClientSDK::writeServerErrorDescrsModule(): D:\kbedemo\Battle//ServerErrorDescrs.cs
 DEBUG root [2018-07-06 13:07:00,588] - ClientSDK::saveFile(): D:\kbedemo\Battle/ServerErrorDescrs.cs
 DEBUG root [2018-07-06 13:07:00,588] - ClientSDK::writeEngineMessagesModule(): D:\kbedemo\Battle//Messages.cs
 DEBUG root [2018-07-06 13:07:00,592] - ClientSDK::saveFile(): D:\kbedemo\Battle/Messages.cs
 DEBUG root [2018-07-06 13:07:00,595] - ClientSDK::saveFile(): D:\kbedemo\Battle/KBETypes.cs
 DEBUG root [2018-07-06 13:07:00,595] - ClientSDK::writeEntityDefsModule(): D:\kbedemo\Battle//EntityDef.cs
 DEBUG root [2018-07-06 13:07:00,599] - ClientSDK::saveFile(): D:\kbedemo\Battle/EntityDef.cs
 DEBUG root [2018-07-06 13:07:00,602] - ClientSDK::saveFile(): D:\kbedemo\Battle/CustomDataTypes.cs
 DEBUG root [2018-07-06 13:07:00,602] - ClientSDK::writeEntityModule(): D:\kbedemo\Battle//Account
 DEBUG root [2018-07-06 13:07:00,603] - ClientSDK::saveFile(): D:\kbedemo\Battle/AccountBase.cs
 DEBUG root [2018-07-06 13:07:00,604] - ClientSDK::saveFile(): D:\kbedemo\Battle/EntityCallAccountBase.cs
 DEBUG root [2018-07-06 13:07:00,605] - ClientSDK::writeEntityModule(): D:\kbedemo\Battle//Equipment
 DEBUG root [2018-07-06 13:07:00,606] - ClientSDK::saveFile(): D:\kbedemo\Battle/EquipmentBase.cs
 DEBUG root [2018-07-06 13:07:00,607] - ClientSDK::saveFile(): D:\kbedemo\Battle/EntityCallEquipmentBase.cs
 DEBUG root [2018-07-06 13:07:00,607] - ClientSDK::writeEntityModule(): D:\kbedemo\Battle//Chat
 DEBUG root [2018-07-06 13:07:00,608] - ClientSDK::saveFile(): D:\kbedemo\Battle/ChatBase.cs
 DEBUG root [2018-07-06 13:07:00,609] - ClientSDK::saveFile(): D:\kbedemo\Battle/EntityCallChatBase.cs
 DEBUG root [2018-07-06 13:07:00,609] - ClientSDK::writeEntityModule(): D:\kbedemo\Battle//ChatRoom
 DEBUG root [2018-07-06 13:07:00,610] - ClientSDK::saveFile(): D:\kbedemo\Battle/ChatRoomBase.cs
 DEBUG root [2018-07-06 13:07:00,611] - ClientSDK::saveFile(): D:\kbedemo\Battle/EntityCallChatRoomBase.cs
 DEBUG root [2018-07-06 13:07:00,612] - Script::uninstall_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-07-06 13:07:00,612] - Script::uninstall_py_dlls(): PyInit__socket
 DEBUG root [2018-07-06 13:07:00,612] - Script::uninstall_py_dlls(): PyInit__ssl
 DEBUG root [2018-07-06 13:07:00,612] - Script::uninstall_py_dlls(): PyInit__hashlib
 DEBUG root [2018-07-06 13:07:00,612] - Script::uninstall_py_dlls(): PyInit_select
 DEBUG root [2018-07-06 13:07:00,612] - Script::uninstall_py_dlls(): PyInit__ctypes
 DEBUG root [2018-07-06 13:07:00,612] - Script::uninstall_py_dlls(): PyInit__elementtree
 DEBUG root [2018-07-06 13:07:00,613] - Script::uninstall_py_dlls(): PyInit_unicodedata
  INFO root [2018-07-06 13:07:00,623] - Script::uninstall(): is successfully!
 DEBUG root [2018-07-06 13:07:00,623] - ThreadPool::destroy(): starting size 2.
  WARN root [2018-07-06 13:07:00,924] - ThreadPool::destroy(): waiting for thread(2)[0xab7d30,0xab8140,], try=1
 DEBUG root [2018-07-06 13:07:01,326] - TPThread::~TPThread(): 0xab7d30
 DEBUG root [2018-07-06 13:07:01,326] - TPThread::~TPThread(): 0xab8140
 DEBUG root [2018-07-06 13:07:01,326] - ThreadPool::destroy(): successfully!
 DEBUG root [2018-07-06 13:07:01,340] - Bundle::destroyObjPool(): size 10.
 DEBUG root [2018-07-06 13:07:01,340] - Channel::destroyObjPool(): size 0.
 DEBUG root [2018-07-06 13:07:01,340] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-07-06 13:07:01,340] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-07-06 13:07:01,340] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2018-07-06 13:07:01,341] - Address::destroyObjPool(): size 0.
 DEBUG root [2018-07-06 13:07:01,341] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2018-07-06 13:07:01,341] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2018-07-06 13:07:01,341] - tool(0) has shut down. ClientSDK=1
  INFO root [2018-07-06 13:07:02,344] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2018-07-06 13:23:50,595] - 
